Age(yr),Rcore(Rsun),Rwd(Rsun),rho(gcm^-3),Rout(Rsun)
710440983.6,0.000136722,0.009075136,14947727.92,0.001732599
720787118.8,0.000485175,0.009073718,14733938.95,0.001784545
729064027,0.000485122,0.009072612,14522546.9,0.002480348
735685553.5,0.000707864,0.009071762,14314964.08,0.002324418
741567359.1,0.000707809,0.009070963,14111209.75,0.003824174
746513863.2,0.0007078,0.009070318,14111555.54,0.003720367
750873708.4,0.000901142,0.009069788,13909921.26,0.003613828
756105522.6,0.000901085,0.009069081,13711636.24,0.004096702
762383699.6,0.001010768,0.009068309,13712006.45,0.004096665
767795058.5,0.001010729,0.009067647,13516586.23,0.003559364
774288689.2,0.001102694,0.00906692,13324173.6,0.003448294
782081046,0.001102651,0.009066039,13134811.15,0.004120457
791431874.1,0.001325495,0.009065106,12948370.03,0.004120395
802652867.9,0.001325406,0.009063808,12764917.84,0.003746195
816118060.5,0.001484852,0.009062534,12584221.59,0.003640315
829070754.8,0.001484775,0.009061213,12406194.76,0.004143944
842304801.1,0.001651201,0.009060105,12057547.18,0.004143861
858185656.8,0.001651112,0.009058628,11887524.9,0.004143771
876324348.7,0.001834465,0.009057247,11554536.56,0.004143668
894667323.2,0.001834363,0.00905564,11392066.56,0.004167233
913425226.4,0.001978835,0.009054342,11073826.03,0.004167132
934470267.5,0.001978735,0.009052724,10765012.77,0.004190554
957647972.8,0.002157375,0.009051207,10465622,0.004190425
982389961.3,0.002157255,0.009049308,10174874.54,0.004213712
1007933049,0.002363062,0.009047715,9892996.431,0.004213578
1034199550,0.0023231,0.009045838,9619165.195,0.00423674
1061300404,0.00251649,0.009044246,9353707.857,0.004236605
1089232862,0.002516364,0.009042366,9095836.46,0.004236488
1118043707,0.002661853,0.009040683,8845733.972,0.004236358
1147321212,0.002697031,0.009038906,8602793.028,0.004236248
1177457818,0.002800403,0.009037292,8367121.589,0.004236126
1208710787,0.002834025,0.009035527,8138205.469,0.004236017
1241040328,0.002900336,0.00903389,7916035.444,0.004235906
1274338041,0.002965312,0.009032263,7700354.447,0.004235795
1309275613,0.003029027,0.009030587,7491019.184,0.004235673
1345546959,0.003122462,0.009028818,7188126.688,0.004235555
1382425884,0.003183346,0.009027022,6993667.642,0.004235438
1419234466,0.003243206,0.009025349,6804799.466,0.004235331
1456550977,0.003302088,0.00902373,6621388.909,0.004235227
1495154588,0.003360031,0.009022096,6443315.506,0.004235112
1535046230,0.003445346,0.009020376,6185605.938,0.004235002
1575402033,0.00347328,0.009018661,6102313.73,0.004234895
1615747051,0.003556126,0.009017019,5939146.35,0.004234791
1656509994,0.003610358,0.009015378,5702998.218,0.004234689
1697745830,0.003663854,0.009013755,5551262.613,0.004234589
1739403825,0.003716642,0.009012154,5403852.821,0.004234491
1781601467,0.003768746,0.00901057,5260638.381,0.004234396
1824347316,0.00382019,0.009009004,5121493.918,0.004257443
1867655296,0.003870995,0.009007455,4986448.979,0.004348686
1911565231,0.003921176,0.009005912,4855145.632,0.004438017
1956081023,0.003995383,0.009004402,4665043.87,0.004503705
2001265634,0.004019758,0.009002919,4542771.011,0.004611301
2047310176,0.004092255,0.009001461,4424023.638,0.004674398
2094247846,0.004139871,0.009000066,4252089.38,0.00475725
2142578566,0.004210354,0.008998613,4141538.13,0.004841129
2192034146,0.004256659,0.008997144,3981404.857,0.004960135
2241810489,0.004302471,0.00899573,3878406.666,0.005075852
2292172013,0.004370247,0.008994408,3729267.765,0.005151198
2344057254,0.004437142,0.008993007,3620166.089,0.005315805
2397102375,0.004481079,0.008991675,3443660.46,0.005368888
2450943308,0.004546095,0.008990351,3355630.262,0.005508263
2506251985,0.004610327,0.008988968,3207226.412,0.005575875
2561995751,0.004652518,0.008987584,3125693.538,0.005787691
2617379731,0.004715,0.008986347,3046436.379,0.005834909
2673787022,0.004776759,0.008985083,2894234.021,0.005958585
2731887845,0.004840052,0.008983768,2821286.283,0.005929935
2790345997,0.004880039,0.008982532,2681172.737,0.006222122
2849316622,0.004958977,0.008981322,2564834.825,0.006260018
2909691441,0.004997845,0.008980082,2485276.939,0.006331745
2970915835,0.005074601,0.008978853,2377744.588,0.00640462
3031958133,0.005112398,0.008977505,2304431.249,0.006450055
3091034554,0.005187065,0.008976404,2247370.439,0.006483635
3150658929,0.005223856,0.008975278,2137671.834,0.006512662
3213032652,0.005260297,0.008974072,2085015.718,0.006568484
3275347213,0.005332298,0.008972834,1983797.98,0.006584996
3335967159,0.005367396,0.00897172,1887809.636,0.006643323
3396280001,0.005437864,0.008970672,1841723.028,0.006659232
3458083162,0.005472031,0.008969546,1752820.15,0.006330949
3520091695,0.005540269,0.008968365,1710242.181,0.006674682
3580372418,0.005574266,0.008967361,1643544.55,0.006709542
3640625134,0.00564072,0.00896633,1586738.365,0.006709462
3702045859,0.005673117,0.008965298,1545567.387,0.006731246
3763368631,0.005705939,0.008964241,1470288.032,0.006739918
3824136801,0.005770092,0.008962966,1430603.215,0.006750553
3880642218,0.005801715,0.008961994,1369122.805,0.006756216
3934563005,0.005833072,0.008961097,1328269,0.006762573
3990093611,0.00588709,0.008960142,1284821.04,0.006767145
4045998570,0.00591021,0.008959173,1250425.895,0.00677302
4101101571,0.005956666,0.00895823,1229964.888,0.006776519
4155410141,0.005992994,0.00895727,1185984.973,0.00678164
4208714081,0.006030162,0.008956253,1149240.666,0.006785838
4259724346,0.006059444,0.008955361,1127259.918,0.006527632
4309347065,0.0061065,0.00895448,1075962.869,0.006794669
4358917430,0.006135537,0.008953521,1049083.196,0.006798764
4406961218,0.006163823,0.008952621,1015309.292,0.006802279
4453271274,0.006184884,0.00895178,999555.8781,0.006804468
4499160196,0.006219989,0.008950935,972415.9948,0.006807404
4544857641,0.006233855,0.008950084,943938.3917,0.00674131
4589976422,0.006282325,0.008949244,926320.8858,0.006811866
4634510080,0.00629244,0.008948398,910258.9346,0.006813728
4678404800,0.006316074,0.008947559,893304.2909,0.006724752
4721573998,0.006359308,0.008946732,860462.2058,0.006819609
4764236649,0.006359268,0.008945849,846466.8205,0.006823244
4805782452,0.006402504,0.008945068,833375.399,0.006815004
4847009597,0.006415607,0.008944212,805105.2592,0.006826855
4888277292,0.006447959,0.008943442,792052.2831,0.00682959
4929798088,0.006470293,0.008942665,779033.9024,0.006832526
4972489110,0.00648156,0.008941817,765321.066,0.006835005
5006641927,0.006510644,0.008941201,737777.6118,0.006836501
5033964181,0.00652693,0.0089407,737774.6196,0.006839537
5055821984,0.006526912,0.008940297,727226.026,0.006841436
5073308226,0.006546572,0.008939978,717496.5412,0.00684174
5087297220,0.006546559,0.008939654,710802.9439,0.006843969
5098488415,0.006546551,0.00893946,705786.3489,0.006831892
5107564135,0.006566471,0.008939308,701630.5856,0.006831882
5118454999,0.00656646,0.008939068,697608.8111,0.006846509
5127167690,0.006566454,0.008938931,694746.027,0.006842976
5134857324,0.006566449,0.008938818,692150.951,0.00684185
